user,item,rating
968,683,4
850,164,3
1030,297,5
457,327,5
1027,248,3
801,238,1
25,274,5
632,164,4
378,8,5
155,4,2
5,550,3
420,267,4
384,6,3
80,386,5
703,344,4
192,7,3
1110,312,5
635,2,5
1112,119,5
1071,471,5
76,706,5
1284,252,5
1167,209,4
0,546,3
687,408,4
158,210,4
328,563,4
7,544,1
1386,102,3
132,464,5
219,474,3
969,6,2
59,133,5
750,264,5
88,96,4
151,212,3
317,30,3
163,701,3
1210,288,3
180,72,3
676,125,1
1338,370,5
1146,271,4
1298,318,3
715,263,3
1090,532,5
74,359,3
332,32,5
325,369,4
354,560,4
1169,135,5
1075,331,5
729,318,4
1162,627,5
123,626,5
614,13,5
60,433,4
753,574,4
1335,62,2
713,40,4
718,156,5
678,60,4
1009,143,3
396,9,3
569,693,5
794,683,5
788,229,4
302,12,3
390,113,5
942,564,3
364,624,3
1173,683,5
696,480,3
24,325,5
249,217,3
780,478,1
866,576,5
694,184,4
214,242,2
497,487,1
248,359,3
521,366,5
1412,350,2
468,122,4
1162,288,4
74,92,4
168,190,4
810,5,5
343,67,5
1167,503,4
911,499,1
861,585,4
753,351,4
892,505,5
5,51,5
1031,194,4
638,495,5
629,319,5
693,116,5
556,369,4
687,425,4
959,331,4
384,187,3
1335,192,3
803,394,3
545,61,1
544,684,5
821,588,1
969,489,4
103,608,4
664,459,5
93,30,1
399,598,3
1168,268,5
468,631,4
949,551,3
1155,91,4
376,657,5
986,259,5
48,9,3
1387,88,3
178,389,5
627,424,5
1257,138,1
469,125,5
1259,49,3
1389,443,4
747,563,4
129,441,4
496,413,4
144,353,5
329,357,1
368,325,4
991,259,5
1198,655,3
1307,382,3
1313,43,3
660,403,3
1251,437,5
251,0,5
1075,2,5
1370,467,5
680,366,5
267,564,3
379,84,4
556,130,2
782,163,4
421,600,4
486,415,4
11,586,5
256,138,5
1043,95,4
538,591,5
891,460,5
1281,219,5
307,248,2
753,415,4
1370,493,5
1232,603,4
470,190,3
535,74,4
136,372,4
632,241,5
1384,184,5
1065,214,3
695,567,5
1281,34,5
1218,156,5
1393,342,4
1074,564,4
1000,288,4
734,627,5
675,376,1
158,566,5
643,343,2
1312,392,5
223,148,4
899,391,2
837,214,4
89,597,4
112,647,1
653,157,4
1388,564,4
628,390,5
1122,7,3
1090,319,5
1162,229,5
459,270,5
1346,138,4
248,232,5
850,401,5
1179,319,5
242,679,1
867,329,1
227,436,5
965,164,1
1181,135,5
862,412,5
1362,306,1
1121,4,3
518,578,5
609,71,5
372,531,4
294,241,4
945,439,4
1328,129,4
1283,220,5
110,307,5
893,403,5
515,430,4
1379,218,4
40,109,5
1232,296,3
843,3,5
314,183,5
622,252,5
274,240,1
202,319,4
247,319,5
861,448,5
996,139,5
1159,350,1
118,667,5
343,319,5
108,680,5
3,433,2
725,102,5
418,499,3
1364,153,3
129,116,5
444,615,5
749,120,5
1187,129,4
737,129,4
312,615,3
474,621,3
672,73,3
809,265,3
812,589,4
1392,346,1
913,480,3
690,306,3
12,400,3
749,172,5
